hours, minutes, seconds, microseconds, status, latitude, North/South, longitude, East/West
Initializing GPS
18,41,0,310265,,,,,
18,41,0,859092,,,,,
18,41,1,372090,,,,,
18,41,1,887086,,,,,
18,41,2,405090,,,,,
18,41,2,922004,,,,,
18,41,3,434094,,,,,
18,41,3,949091,,,,,
18,41,4,464092,,,,,
18,41,4,976092,,,,,
18,41,5,488092,,,,,
18,41,6,94,,,,,
18,41,6,512094,,,,,
18,41,7,25093,,,,,
18,41,7,537092,,,,,
18,41,8,52089,,,,,
18,41,8,562753,,,,,
18,41,9,75093,,,,,
18,41,9,587093,,,,,
18,41,10,99092,,,,,
18,41,10,611093,,,,,
18,41,11,125092,,,,,
18,41,11,641093,,,,,
18,41,12,153093,,,,,0
Initializing GPS
18,41,0,262041,,,,,
18,41,0,806092,,,,,
18,41,1,318092,,,,,
18,41,1,835092,,,,,
18,41,2,356091,,,,,
18,41,2,877102,,,,,
18,41,3,397094,,,,,
18,41,3,916092,,,,,
18,41,4,437091,,,,,
18,41,4,961082,,,,,
18,41,5,479091,,,,,
18,41,5,989443,,,,,
18,41,6,501095,,,,,
18,41,7,13092,,,,,
18,41,7,525093,,,,,
18,41,8,40091,,,,,
18,41,8,559092,,,,,
18,41,9,74456,,,,,
18,41,9,586094,,,,,
18,41,10,98094,,,,,
18,41,10,610094,,,,,
18,41,11,122095,,,,,
18,41,11,640093,,,,,
18,41,12,152094,,,,,
18,41,12,664093,,,,,
18,41,13,176093,,,,,
18,41,13,688091,V,,,,
18,41,14,200093,V,,,,
18,41,14,715093,V,,,,
18,41,15,227092,V,,,,
18,41,15,739090,V,,,,
18,41,16,252087,V,,,,
18,41,16,764094,V,,,,
18,41,17,276093,V,,,,
18,41,17,788094,V,,,,
18,41,18,303094,V,,,,
18,41,18,815094,V,,,,
18,41,19,327093,V,,,,
18,41,19,839093,V,,,,
18,41,20,351091,V,,,,
18,41,20,863093,V,,,,
18,41,21,378093,V,,,,
18,41,21,891091,V,,,,
18,41,22,403093,V,,,,
18,41,22,916090,V,,,,
18,41,23,437091,V,,,,
18,41,23,944456,V,,,,
18,41,24,456093,V,,,,
18,41,24,971101,V,,,,
18,41,25,483093,V,,,,
18,41,25,995093,V,,,,
18,41,26,507095,V,,,,
18,41,27,19091,V,,,,
18,41,27,531095,V,,,,
18,41,28,43094,V,,,,
18,41,28,558091,V,,,,
18,41,29,70095,V,,,,
18,41,29,582091,V,,,,
18,41,30,94093,V,,,,
18,41,30,614407,V,,,,
18,41,31,121454,3*36
,,,,
18,41,31,646093,3*36
,,,,
18,41,32,158094,3*36
,,,,
18,41,32,670092,3*36
,,,,
18,41,33,181091,3*36
,,,,
18,41,33,693091,3,1000*1D
,,,
18,41,34,205091,3,1000*1D
,,,
18,41,34,725091,3,1000*1D
,,,
18,41,35,237091,3,1000*1D
,,,
18,41,35,750092,3,1000*1D
,,,
18,41,36,263091,1*6C1000*1D
,1000*1D
,,,
18,41,36,779093,1*6C1000*1D
,1000*1D
,,,
18,41,37,292085,1*6C1000*1D
,1000*1D
,,,
18,41,37,804094,1*6C1000*1D
,1000*1D
,,,
18,41,38,318851,1*6C1000*1D
,1000*1D
,,,
18,41,38,836092,1*6C1000*1D
,1000*1D
,,,
18,41,39,345003,1*6C1000*1D
,1000*1D
,,,
18,41,39,858094,1*6C1000*1D
,1000*1D
,,,
18,41,40,371091,1*6C1000*1D
,1000*1D
,,,
18,41,40,884093,1*6C1000*1D
,1000*1D
,,,
18,41,41,399093,V,,,,
18,41,41,916093,V,,,,
18,41,42,429093,V,,,,
18,41,42,942094,V,,,,
18,41,43,455091,V,,,,
18,41,43,968093,V,,,,
18,41,44,481091,V,,,,
18,41,44,998090,V,,,,
18,41,45,511091,V,,,,
18,41,46,37092,V,,,,
18,41,46,552790,V,,,,
18,41,47,66093,0027,PA1010D,1.0*76
,,
18,41,47,579094,0027,PA1010D,1.0*76
,,
18,41,48,92093,0027,PA1010D,1.0*76
,,
18,41,48,608094,0027,PA1010D,1.0*76
,,
18,41,49,121092,0027,PA1010D,1.0*76
,,
18,41,49,634093,0027,PA1010D,1.0*76
,,
18,41,50,149093,0027,PA1010D,1.0*76
,,
18,41,50,666093,0027,PA1010D,1.0*76
,,
18,41,51,179092,0027,PA1010D,1.0*76
,,
18,41,51,695091,0027,PA1010D,1.0*76
,,
18,41,52,208093,V,,,,
18,41,52,721091,V,,,,
18,41,53,234090,V,,,,
18,41,53,747090,V,,,,
18,41,54,258006,V,,,,
18,41,54,774096,V,,,,
18,41,55,290093,V,,,,
18,41,55,803093,V,,,,
18,41,56,316094,V,,,,
18,41,56,829094,V,,,,
18,41,57,342093,V,,,,
18,41,57,855093,V,,,,
18,41,58,371093,V,,,,
18,41,58,885091,V,,,,
18,41,59,398096,V,,,,
18,41,59,911093,V,,,,
18,42,0,425090,V,,,,
18,42,0,938090,V,,,,
18,42,1,458092,V,,,,
18,42,1,970008,V,,,,
18,42,2,483094,V,,,,
18,42,2,996091,V,,,,
18,42,3,509096,V,,,,
18,42,4,22095,V,,,,
18,42,4,535091,V,,,,
18,42,5,51090,V,,,,
18,42,5,564095,V,,,,
18,42,6,77091,V,,,,
18,42,6,590091,V,,,,
18,42,7,103095,V,,,,
18,42,7,616091,V,,,,
18,42,8,129090,V,,,,
18,42,8,645090,V,,,,
18,42,9,157039,V,,,,
18,42,9,676092,V,,,,
18,42,10,189095,V,,,,
18,42,10,701095,V,,,,
18,42,11,214094,V,,,,
18,42,11,726093,V,,,,
18,42,12,242093,V,,,,
18,42,12,760094,V,,,,
18,42,13,272093,V,,,,
18,42,13,785091,V,,,,
18,42,14,298094,V,,,,
18,42,14,811092,V,,,,
18,42,15,328094,V,,,,
18,42,15,845092,V,,,,
18,42,16,366093,V,,,,
18,42,16,878005,V,,,,
18,42,17,393094,V,,,,
18,42,17,906093,V,,,,
18,42,18,419091,V,,,,
18,42,18,938094,V,,,,
18,42,19,451093,V,,,,
18,42,19,964091,V,,,,
18,42,20,477093,V,,,,
18,42,20,990094,V,,,,
18,42,21,503095,V,,,,
18,42,22,19093,V,,,,
18,42,22,532091,V,,,,
18,42,23,45093,V,,,,
18,42,23,558090,V,,,,
18,42,24,71090,V,,,,
18,42,24,585627,V,,,,
18,42,25,101095,V,,,,
18,42,25,617096,V,,,,
18,42,26,130093,V,,,,
18,42,26,643096,V,,,,
18,42,27,156092,V,,,,
18,42,27,669093,V,,,,
18,42,28,185092,V,,,,
18,42,28,701096,V,,,,
18,42,29,214091,V,,,,
18,42,29,727093,V,,,,
18,42,30,240093,V,,,,
18,42,30,753090,V,,,,
18,42,31,266090,V,,,,
18,42,31,780091,V,,,,
18,42,32,294972,V,,,,
18,42,32,811094,V,,,,
18,42,33,325093,V,,,,
18,42,33,841093,V,,,,
18,42,34,354093,V,,,,
18,42,34,867094,V,,,,
18,42,35,383093,V,,,,
18,42,35,897093,V,,,,
18,42,36,410094,V,,,,
18,42,36,925093,V,,,,
18,42,37,441094,V,,,,
18,42,37,955091,V,,,,
18,42,38,468091,V,,,,
18,42,38,984092,V,,,,
18,42,39,500091,V,,,,
18,42,40,11454,V,,,,
18,42,40,525093,V,,,,
18,42,41,38091,V,,,,
18,42,41,551095,V,,,,
18,42,42,67095,V,,,,
18,42,42,583096,V,,,,
18,42,43,97093,V,,,,
18,42,43,610092,V,,,,
18,42,44,123093,V,,,,
18,42,44,636093,V,,,,
18,42,45,149093,V,,,,
18,42,45,665093,V,,,,
18,42,46,178090,V,,,,
18,42,46,691093,V,,,,
18,42,47,201688,V,,,,
18,42,47,715092,V,,,,
18,42,48,230092,V,,,,
18,42,48,743094,V,,,,
18,42,49,263092,V,,,,
18,42,49,777095,V,,,,
18,42,50,290092,V,,,,
18,42,50,803091,V,,,,
18,42,51,321091,V,,,,
18,42,51,832443,V,,,,
18,42,52,368086,V,,,,
18,42,52,882005,V,,,,
18,42,53,396090,V,,,,
18,42,53,909091,V,,,,
18,42,54,424090,V,,,,
18,42,54,938035,V,,,,
18,42,55,451094,V,,,,
18,42,55,967094,V,,,,
18,42,56,480094,V,,,,
18,42,56,993093,V,,,,
18,42,57,506095,V,,,,
18,42,58,19094,V,,,,
18,42,58,532095,V,,,,
18,42,59,49095,V,,,,
18,42,59,562095,V,,,,
18,43,0,75092,V,,,,
18,43,0,588828,V,,,,
18,43,1,107093,V,,,,
18,43,1,623091,V,,,,
18,43,2,136090,V,,,,
18,43,2,653045,V,,,,
18,43,3,166093,V,,,,
18,43,3,679094,V,,,,
18,43,4,195093,V,,,,
18,43,4,708094,V,,,,
18,43,5,227094,V,,,,
18,43,5,743094,V,,,,
18,43,6,256091,V,,,,
18,43,6,769091,V,,,,
18,43,7,282093,V,,,,
18,43,7,795093,V,,,,
18,43,8,308091,V,,,,
18,43,8,821091,V,,,,
18,43,9,337090,V,,,,
18,43,9,856090,V,,,,
18,43,10,378095,V,,,,
18,43,10,891008,V,,,,
18,43,11,404093,V,,,,
18,43,11,917093,V,,,,
18,43,12,430093,V,,,,
18,43,12,946093,V,,,,
18,43,13,463093,V,,,,
18,43,13,976093,V,,,,
18,43,14,494095,V,,,,
18,43,15,7096,V,,,,
18,43,15,520090,V,,,,
18,43,16,36092,V,,,,
18,43,16,549095,V,,,,
18,43,17,62092,V,,,,
18,43,17,575091,V,,,,
18,43,18,89090,V,,,,
18,43,18,599083,V,,,,
18,43,19,121096,V,,,,
18,43,19,634093,V,,,,
18,43,20,147094,V,,,,
18,43,20,660093,V,,,,
18,43,21,173093,V,,,,
18,43,21,686092,V,,,,
18,43,22,199094,V,,,,
18,43,22,715094,V,,,,
18,43,23,228093,V,,,,
18,43,23,747093,V,,,,
18,43,24,263092,V,,,,
18,43,24,776091,V,,,,
18,43,25,289091,V,,,,
18,43,25,810094,V,,,,
18,43,26,325993,V,,,,
18,43,26,839093,V,,,,
18,43,27,352091,V,,,,
18,43,27,865091,V,,,,
18,43,28,383091,V,,,,
18,43,28,896091,V,,,,
18,43,29,414094,V,,,,
18,43,29,927092,V,,,,
18,43,30,440092,V,,,,
18,43,30,953094,V,,,,
18,43,31,466093,V,,,,
18,43,31,979085,V,,,,
18,43,32,491516,V,,,,
18,43,33,10570,V,,,,
18,43,33,521437,V,,,,
18,43,34,35094,V,,,,
18,43,34,548095,V,,,,
18,43,35,64094,V,,,,
18,43,35,578095,V,,,,
18,43,36,95093,V,,,,
18,43,36,611094,V,,,,
18,43,37,125093,V,,,,
18,43,37,642102,V,,,,
18,43,38,155148,V,,,,
18,43,38,668093,V,,,,
18,43,39,181093,V,,,,
18,43,39,697094,V,,,,
18,43,40,210094,V,,,,
18,43,40,723091,V,,,,
18,43,41,236090,V,,,,
18,43,41,749088,V,,,,
18,43,42,262093,V,,,,
18,43,42,774094,V,,,,
18,43,43,290094,V,,,,
18,43,43,803093,V,,,,
